hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,pu_x,pu_y,do_x,do_y
HV0003,B03404,B03404,2025-07-02 18:30:14,2025-07-02 18:31:37,2025-07-02 18:32:48,2025-07-02 18:46:16,66,65,1.46,809,11.68,0.0,0.29,1.02,0.0,0.0,3.0,10.21,N,N,N,N,N,0.0,988485.223819793,195230.66333055537,988393.3540107312,192756.99755699327
HV0003,B03404,B03404,2025-07-02 18:47:53,2025-07-02 18:49:44,2025-07-02 18:51:44,2025-07-02 18:58:22,65,33,0.72,398,10.18,0.0,0.25,0.91,0.0,0.0,0.0,5.43,N,N,N,N,N,0.0,988529.7687122532,191793.3445967248,985377.2535277276,193368.21524298488
HV0003,B03404,B03404,2025-07-02 18:53:44,2025-07-02 18:54:26,2025-07-02 18:56:26,2025-07-02 19:12:19,33,25,2.55,953,27.69,0.0,0.69,2.46,0.0,0.0,4.58,13.94,N,N,N,N,N,0.0,985501.5026624568,192082.5692530772,987977.8760907764,188542.60785199387
HV0003,B03404,B03404,2025-07-02 18:49:10,2025-07-02 18:51:10,2025-07-02 18:51:47,2025-07-02 19:03:01,65,65,1.52,674,17.92,0.0,0.45,1.58,0.0,0.0,0.0,10.03,N,N,N,N,N,0.0,988246.7278088024,193427.9135879269,987920.2860709734,192523.82406630332
HV0003,B03404,B03404,2025-07-02 18:11:19,2025-07-02 18:16:35,2025-07-02 18:16:43,2025-07-02 18:29:17,65,25,1.33,754,21.26,0.0,0.53,1.88,0.0,0.0,0.0,14.03,N,N,N,N,Y,0.0,987871.3344090264,192670.57451514865,987756.818073396,188789.6600199889
HV0005,B03406,,2025-07-02 18:23:26,2025-07-02 18:33:52,2025-07-02 18:33:56,2025-07-02 18:42:25,65,66,1.12,509,11.4,0.0,0.29,1.01,0.0,0.0,0.0,6.74,N,N,N,N,N,0.0,988486.6201574608,191573.08703411676,987622.1131413828,194968.22164460423
HV0005,B03406,,2025-07-02 18:41:17,2025-07-02 18:42:54,2025-07-02 18:43:06,2025-07-02 18:50:08,66,25,1.178,422,9.95,0.0,0.19,0.69,0.0,0.0,0.0,5.95,N,N,N,N,N,0.0,987953.490658928,195310.9214296364,988187.2738491476,188605.7036713021
HV0003,B03404,B03404,2025-07-02 18:15:28,2025-07-02 18:26:33,2025-07-02 18:26:56,2025-07-02 18:38:20,65,33,0.85,684,10.72,0.0,0.27,0.95,0.0,0.0,0.0,10.6,N,N,N,N,N,0.0,986659.8794371714,192118.5442534625,985010.1703040374,192252.7620952852
HV0005,B03406,,2025-07-02 18:38:30,2025-07-02 18:41:02,2025-07-02 18:41:48,2025-07-02 18:50:25,33,209,2.041,517,11.43,0.0,0.29,1.02,2.75,0.0,0.0,8.13,N,N,N,N,N,1.5,986117.5683866906,193275.99095022536,983153.5576405252,197341.29252783855
HV0005,B03406,,2025-07-02 18:42:15,2025-07-02 18:42:58,2025-07-02 18:43:58,2025-07-02 18:53:58,65,209,1.888,600,10.54,0.0,0.26,0.94,2.75,0.0,4.0,8.75,N,N,N,N,N,1.5,988295.535913685,193048.0473199716,982392.123952481,196959.5943718636
HV0003,B03404,B03404,2025-07-02 18:14:46,2025-07-02 18:18:53,2025-07-02 18:18:59,2025-07-02 18:26:06,33,25,1.37,427,11.65,0.0,0.29,1.02,0.0,0.0,0.0,6.91,N,N,N,N,Y,0.0,985674.6915172108,193052.1899537212,988041.1905530344,188864.63320994767
HV0005,B03406,,2025-07-02 18:57:23,2025-07-02 18:59:03,2025-07-02 18:59:31,2025-07-02 19:06:05,65,33,1.11,394,9.74,0.0,0.22,0.77,0.0,0.0,2.0,5.56,N,N,N,N,N,0.0,987950.5499455796,192664.85484146103,985506.2400823368,193546.7259279837
HV0003,B03404,B03404,2025-07-02 18:33:15,2025-07-02 18:34:52,2025-07-02 18:35:58,2025-07-02 18:46:51,25,33,1.38,653,14.28,0.0,0.38,1.34,0.0,0.0,0.0,12.03,N,N,N,N,N,0.0,987785.036106792,189703.3209720912,985681.8537691884,191825.57237186944
HV0003,B03404,B03404,2025-07-02 18:30:47,2025-07-02 18:35:47,2025-07-02 18:36:41,2025-07-02 18:50:45,88,65,2.94,844,22.19,0.0,0.55,2.09,2.75,0.0,0.0,12.67,N,N,N,N,N,1.5,981818.0439047512,196218.88130034856,987774.0403952756,192764.8584863304
HV0003,B03404,B03404,2025-07-02 18:15:29,2025-07-02 18:19:44,2025-07-02 18:20:59,2025-07-02 18:26:36,66,66,0.63,336,7.1,0.0,0.18,0.63,0.0,0.0,0.0,4.28,N,N,N,N,N,0.0,988010.4915191612,194651.77658031747,987859.6438854884,194615.1468905751
HV0003,B03404,B03404,2025-07-02 18:07:47,2025-07-02 18:10:02,2025-07-02 18:10:30,2025-07-02 18:21:35,88,209,0.94,666,15.9,0.0,0.38,1.48,2.75,0.0,0.0,9.69,N,N,N,N,N,1.5,981695.751030375,195800.8785012957,983670.9218993126,197384.43829697196
HV0005,B03406,,2025-07-02 18:28:39,2025-07-02 18:29:05,2025-07-02 18:29:15,2025-07-02 18:40:42,25,66,1.957,687,16.22,0.0,0.36,1.28,0.0,0.0,2.68,9.73,N,N,N,N,N,0.0,988265.5134707618,188754.76325752743,987761.8301007472,194681.83324703627
HV0005,B03406,,2025-07-02 18:38:48,2025-07-02 18:44:48,2025-07-02 18:45:48,2025-07-02 18:53:06,66,65,0.769,438,11.56,0.0,0.26,0.91,0.0,0.0,0.0,5.53,N,N,N,N,N,0.0,988427.3778063185,194586.02457016904,988932.7922567434,192018.70433880904
HV0005,B03406,,2025-07-02 18:42:26,2025-07-02 18:46:58,2025-07-02 18:47:58,2025-07-02 18:58:06,65,66,0.905,608,14.68,0.0,0.37,1.3,0.0,0.0,0.0,8.17,N,N,N,N,N,0.0,988425.4079780396,193296.3918498031,988095.8086619044,195039.7178633329
HV0005,B03406,,2025-07-02 18:18:30,2025-07-02 18:22:07,2025-07-02 18:22:12,2025-07-02 18:32:17,33,209,2.238,605,16.09,0.0,0.22,0.78,2.75,0.0,4.7,9.3,N,N,N,N,N,0.0,986382.662171954,193128.7545270549,983560.8434880752,197187.7869511644
HV0003,B03404,B03404,2025-07-02 18:22:41,2025-07-02 18:24:22,2025-07-02 18:25:52,2025-07-02 18:37:18,45,87,1.66,686,12.79,0.0,0.28,1.13,2.75,0.0,0.0,9.25,N,N,N,N,N,1.5,984071.4586251894,198943.301265473,981733.530772316,197172.75292132108
HV0005,B03406,,2025-07-02 18:32:54,2025-07-02 18:44:33,2025-07-02 18:44:35,2025-07-02 18:57:37,65,33,0.688,782,11.55,0.0,0.29,1.03,0.0,0.0,0.0,9.01,N,N,N,N,N,0.0,988078.7860135448,193313.71067590048,985233.139867672,194000.3762575056
HV0003,B03404,B03404,2025-07-02 18:03:15,2025-07-02 18:05:57,2025-07-02 18:07:25,2025-07-02 18:16:56,65,25,0.84,571,9.29,0.0,0.24,0.86,0.0,0.0,0.0,10.43,N,N,N,N,N,0.0,988416.9437610368,193847.0266622425,987904.7032564734,188894.7296482804
HV0003,B03404,B03404,2025-07-02 19:13:35,2025-07-02 19:19:14,2025-07-02 19:19:14,2025-07-02 19:35:43,45,33,2.81,989,21.75,0.0,0.5,1.93,2.75,0.0,4.03,13.95,N,N,N,N,N,1.5,984664.0854055912,198811.81292757025,984869.0275578322,192660.39472871795
HV0003,B03404,B03404,2025-07-02 19:49:11,2025-07-02 19:52:33,2025-07-02 19:53:58,2025-07-02 20:04:26,25,66,1.14,628,13.95,0.0,0.35,1.24,0.0,0.0,1.0,8.13,N,N,N,N,N,0.0,988619.216036693,189378.71328401263,988758.059842182,193979.95713593977
HV0005,B03406,,2025-07-02 19:46:49,2025-07-02 19:49:19,2025-07-02 19:49:20,2025-07-02 19:54:12,33,33,0.796,292,6.92,0.0,0.17,0.61,0.0,0.0,0.0,4.09,N,N,N,N,N,0.0,985795.6718570885,192573.2770610492,984908.8646264168,193128.17016801884
HV0003,B03404,B03404,2025-07-02 19:01:10,2025-07-02 19:04:00,2025-07-02 19:04:12,2025-07-02 19:08:56,66,66,0.56,285,8.93,0.0,0.22,0.79,0.0,0.0,3.0,4.49,N,N,N,N,N,0.0,988822.047909541,197141.5756213636,988255.931809627,194805.19484269893
HV0003,B03404,B03404,2025-07-02 19:16:33,2025-07-02 19:20:24,2025-07-02 19:20:37,2025-07-02 19:25:55,87,45,0.91,318,10.05,0.0,0.21,0.89,2.75,0.0,0.0,4.49,N,N,N,N,N,1.5,982517.3689494616,196835.77690377345,984919.6187793552,199064.2234469312
HV0003,B03404,B03404,2025-07-02 19:04:06,2025-07-02 19:05:45,2025-07-02 19:06:29,2025-07-02 19:12:34,33,66,1.1,366,9.31,0.0,0.22,0.79,0.0,0.0,0.0,7.98,N,N,N,N,N,0.0,984918.207914504,192455.75177534143,987770.0434276386,195090.349611573
HV0005,B03406,,2025-07-02 19:39:29,2025-07-02 19:41:30,2025-07-02 19:42:30,2025-07-02 20:08:21,65,88,3.872,1551,21.56,0.0,0.54,1.91,2.75,0.0,0.0,21.19,N,N,N,N,N,1.5,988001.5216830265,192339.64837986644,980469.3124788494,196105.53052874075
HV0005,B03406,,2025-07-02 19:37:11,2025-07-02 19:40:12,2025-07-02 19:41:07,2025-07-02 19:50:14,25,25,0.979,547,8.86,0.0,0.22,0.79,0.0,0.0,0.0,6.93,N,N,N,N,N,0.0,988093.1823827366,189960.58733840365,987320.9565964624,189006.9672271463
HV0003,B03404,B03404,2025-07-02 19:57:20,2025-07-02 19:57:31,2025-07-02 19:58:56,2025-07-02 20:07:10,87,45,1.05,494,8.99,0.0,0.13,0.56,2.75,0.0,0.0,6.46,N,N,N,N,N,1.5,982795.3113586848,196706.52444176588,985158.9665303236,199845.29765112183
